날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만),kosdaq
2019.12.30,669.83,8.59,+1.30%,789329.0,3799412.0,1.2824149411044592
2020.01.02,674.02,4.19,+0.63%,783730.0,4476504.0,0.6216432746802767
2020.01.03,669.93,4.09,-0.61%,903858.0,5540086.0,0.6105115459824161
2020.01.06,655.31,14.62,-2.18%,884278.0,4961872.0,2.2310051731241702
2020.01.07,663.44,8.13,+1.24%,970306.0,5302183.0,1.225431086458459
2020.01.08,640.94,22.5,-3.39%,1379708.0,7034355.0,3.5104689986582205
2020.01.09,666.09,25.15,+3.92%,980618.0,5261765.0,3.7757660376225433
2020.01.10,673.03,6.94,+1.04%,837389.0,4913661.0,1.0311576007013061
2020.01.13,679.22,6.19,+0.92%,894402.0,4843152.0,0.911339477636112
2020.01.14,678.71,0.51,-0.08%,897262.0,5205779.0,0.07514254983719114
2020.01.15,679.16,0.45,+0.07%,908209.0,4233510.0,0.06625831910006479
2020.01.16,686.52,7.36,+1.08%,880290.0,5239369.0,1.0720736467983454
2020.01.17,688.41,1.89,+0.28%,1028709.0,5544314.0,0.2745456922473526
2020.01.20,683.47,4.94,-0.72%,1019250.0,5916227.0,0.72278227281373
2020.01.21,676.52,6.95,-1.02%,1032065.0,5569469.0,1.0273162655945132
2020.01.22,688.25,11.73,+1.73%,1012722.0,4631042.0,1.7043225572103162
2020.01.23,685.57,2.68,-0.39%,957782.0,5009218.0,0.3909155884884111
2020.01.28,664.7,20.87,-3.04%,1161215.0,6991101.0,3.139762298781405
2020.01.29,670.18,5.48,+0.82%,1056865.0,5573599.0,0.8176907696439764
2020.01.30,656.39,13.79,-2.06%,1213886.0,6228414.0,2.100885144502506
2020.01.31,642.48,13.91,-2.12%,1343602.0,6458896.0,2.1650479392354627
2020.02.03,646.85,4.37,+0.68%,1193311.0,6081593.0,0.6755816649918837
2020.02.04,661.24,14.39,+2.22%,938254.0,5073960.0,2.1762143850946707
2020.02.05,661.32,0.08,+0.01%,991276.0,5266753.0,0.012097018085042037
2020.02.06,672.69,11.37,+1.72%,946334.0,4609410.0,1.6902287829460818
2020.02.07,672.63,0.06,-0.01%,1024735.0,5232691.0,0.00892020873288435
2020.02.10,676.07,3.44,+0.51%,979098.0,4829779.0,0.5088230508675137
2020.02.11,682.34,6.27,+0.93%,1167070.0,5516294.0,0.9188967376967493
2020.02.12,686.59,4.25,+0.62%,1333842.0,6045972.0,0.6190011506139035
2020.02.13,687.61,1.02,+0.15%,1345100.0,6993822.0,0.14833990197931968
2020.02.14,688.91,1.3,+0.19%,1499191.0,7351634.0,0.18870389455807002
2020.02.17,692.59,3.68,+0.53%,1524917.0,6524735.0,0.5313388873648189
2020.02.18,682.92,9.67,-1.40%,1781024.0,7509559.0,1.4159784454987407
2020.02.19,684.78,1.86,+0.27%,1604888.0,7629860.0,0.2716200823622185
2020.02.20,681.66,3.12,-0.46%,1464809.0,8799125.0,0.4577061878355779
2020.02.21,667.99,13.67,-2.01%,1427547.0,8134693.0,2.046437820925463
2020.02.24,639.29,28.7,-4.30%,1476932.0,8178363.0,4.48935537862316
2020.02.25,656.95,17.66,+2.76%,1212527.0,6189111.0,2.688180226805693
2020.02.26,654.63,2.32,-0.35%,1137059.0,6137280.0,0.35439866794983427
2020.02.27,638.17,16.46,-2.51%,1231802.0,7715985.0,2.5792500430919665
2020.02.28,610.73,27.44,-4.30%,1389631.0,8020425.0,4.492983806264634
2020.03.02,627.66,16.93,+2.77%,1186854.0,6153922.0,2.6973202052066405
2020.03.03,626.82,0.84,-0.13%,1232865.0,6053621.0,0.13400976356848857
2020.03.04,641.73,14.91,+2.38%,1097676.0,5659995.0,2.32340704034407
2020.03.05,650.19,8.46,+1.32%,1077679.0,6397649.0,1.301158123010197
2020.03.06,642.72,7.47,-1.15%,1113502.0,7238871.0,1.1622479462285287
2020.03.09,614.6,28.12,-4.38%,1317498.0,8683416.0,4.575333550276603
2020.03.10,619.97,5.37,+0.87%,1431027.0,9633330.0,0.866170943755343
2020.03.11,595.61,24.36,-3.93%,1570650.0,8354953.0,4.089924615100485
2020.03.12,563.49,32.12,-5.39%,1639528.0,8049548.0,5.700189888019308
2020.03.13,524.0,39.49,-7.01%,1522369.0,8152013.0,7.536259541984733
2020.03.16,504.51,19.49,-3.72%,1201664.0,7219385.0,3.8631543477829973
2020.03.17,514.73,10.22,+2.03%,1367413.0,7993286.0,1.985506964816506
2020.03.18,485.14,29.59,-5.75%,1322271.0,7410179.0,6.099270313723873
2020.03.19,428.35,56.79,-11.71%,1646248.0,8575181.0,13.257849889109371
2020.03.20,467.75,39.4,+9.20%,1243149.0,6503974.0,8.423303046499198
2020.03.23,443.76,23.99,-5.13%,1086690.0,6163699.0,5.406075356048314
2020.03.24,480.4,36.64,+8.26%,1143642.0,6742315.0,7.626977518734389
2020.03.25,505.68,25.28,+5.26%,1441082.0,9686607.0,4.9992089859199496
2020.03.26,516.61,10.93,+2.16%,1649355.0,11902864.0,2.1157159172296316
2020.03.27,522.83,6.22,+1.20%,1979703.0,14845252.0,1.1896792456438994
2020.03.30,542.11,19.28,+3.69%,1431987.0,9610628.0,3.5564737783844604
2020.03.31,569.07,26.96,+4.97%,1865421.0,13672046.0,4.737554255188289
2020.04.01,551.84,17.23,-3.03%,1897096.0,13461988.0,3.122281820817628
2020.04.02,567.7,15.86,+2.87%,1680263.0,10992105.0,2.7937290822617573
2020.04.03,573.01,5.31,+0.94%,1374770.0,9453490.0,0.9266853981605905
2020.04.06,597.21,24.2,+4.22%,1526019.0,9876607.0,4.052175951507844
2020.04.07,606.9,9.69,+1.62%,2108624.0,13276333.0,1.5966386554621848
2020.04.08,607.37,0.47,+0.08%,2362934.0,12763686.0,0.07738281442942521
2020.04.09,615.95,8.58,+1.41%,1810580.0,9552047.0,1.3929702086208295
2020.04.10,611.26,4.69,-0.76%,2001744.0,10153608.0,0.7672676111638256
2020.04.13,596.71,14.55,-2.38%,2010346.0,10096969.0,2.4383703976806155
2020.04.14,610.29,13.58,+2.28%,1600520.0,8357337.0,2.225171639712268
2020.04.16,623.43,13.14,+2.15%,1368160.0,8217243.0,2.1076945286559843
2020.04.17,634.79,11.36,+1.82%,1640016.0,9115282.0,1.7895682036579028
2020.04.20,637.82,3.03,+0.48%,1571067.0,9532297.0,0.4750556583362076
2020.04.21,628.77,9.05,-1.42%,2164007.0,12731402.0,1.4393180336211973
2020.04.22,635.16,6.39,+1.02%,1459274.0,9185269.0,1.0060457207632723
2020.04.23,643.79,8.63,+1.36%,1659299.0,10091678.0,1.3404992311157367
2020.04.24,632.96,10.83,-1.68%,1781069.0,8847938.0,1.7110085945399391
2020.04.27,646.86,13.9,+2.20%,1718845.0,7697761.0,2.1488420987539807
2020.04.28,644.93,1.93,-0.30%,1770727.0,8179500.0,0.29925728373621946
2020.04.29,645.18,0.25,+0.04%,1686253.0,7967208.0,0.0387488762825878
2020.05.04,641.91,3.27,-0.51%,1279273.0,6695809.0,0.5094172080198159
2020.05.06,658.4,16.49,+2.57%,1506803.0,8491492.0,2.504556500607533
2020.05.07,668.17,9.77,+1.48%,1744936.0,8831807.0,1.4622027328374516
2020.05.08,682.3,14.13,+2.11%,1683945.0,9622021.0,2.0709365381796867
2020.05.11,685.04,2.74,+0.40%,1538941.0,10447899.0,0.39997664369963803
2020.05.12,684.21,0.83,-0.12%,1486569.0,10034743.0,0.12130778562137355
2020.05.13,691.53,7.32,+1.07%,1510721.0,9717013.0,1.0585224068370136
2020.05.14,690.57,0.96,-0.14%,1572689.0,13051237.0,0.13901559581215517
2020.05.15,691.93,1.36,+0.20%,1360015.0,12394013.0,0.19655167430231382
2020.05.18,690.85,1.08,-0.16%,1470278.0,10497458.0,0.15632915973076644
2020.05.19,696.36,5.51,+0.80%,1819084.0,11873294.0,0.791257395599977
2020.05.20,708.76,12.4,+1.78%,2068645.0,10475840.0,1.7495343981037308
2020.05.21,716.02,7.26,+1.02%,1993800.0,11336859.0,1.0139381581520068
2020.05.22,708.58,7.44,-1.04%,1696053.0,10791248.0,1.0499872985407435
2020.05.25,719.89,11.31,+1.60%,1603666.0,9460186.0,1.57107335842976
2020.05.26,729.11,9.22,+1.28%,1554767.0,10344399.0,1.2645554168781117
2020.05.27,724.59,4.52,-0.62%,1571385.0,10577662.0,0.6238010461088339
2020.05.28,708.75,15.84,-2.19%,2097276.0,11912397.0,2.234920634920635
2020.05.29,713.68,4.93,+0.70%,1472678.0,8503015.0,0.6907857863468221
2020.06.01,735.72,22.04,+3.09%,1275399.0,10325550.0,2.995704887729027
2020.06.02,743.58,7.86,+1.07%,1464961.0,10733016.0,1.0570483337367869
2020.06.03,737.66,5.92,-0.80%,1482743.0,11559145.0,0.8025377545210531
2020.06.04,742.37,4.71,+0.64%,1305965.0,9774409.0,0.6344545172892223
2020.06.05,749.31,6.94,+0.93%,1125022.0,8656169.0,0.926185423923343
2020.06.08,753.04,3.73,+0.50%,1325593.0,9120474.0,0.49532561351322646
2020.06.09,753.82,0.78,+0.10%,1532566.0,10343145.0,0.1034729776339179
2020.06.10,758.62,4.8,+0.64%,1577271.0,12213263.0,0.6327278479344072
2020.06.11,757.06,1.56,-0.21%,1452105.0,13508483.0,0.2060602858426017
2020.06.12,746.06,11.0,-1.45%,1324399.0,11700600.0,1.4744122456638877
2020.06.15,693.15,52.91,-7.09%,1470732.0,12260630.0,7.633268412320565
2020.06.16,735.38,42.23,+6.09%,1320202.0,10669159.0,5.742609263238053
2020.06.17,735.4,0.02,+0.00%,1408467.0,10425319.0,0.0027196083763937995
2020.06.18,737.33,1.93,+0.26%,1243956.0,10605932.0,0.2617552520581015
2020.06.19,742.03,4.7,+0.64%,1529200.0,12365576.0,0.6333975715267577
2020.06.22,751.64,9.61,+1.30%,1336686.0,10511545.0,1.2785375977861742
2020.06.23,753.23,1.59,+0.21%,1584472.0,11682636.0,0.21109090184936874
2020.06.24,759.5,6.27,+0.83%,1333491.0,11763015.0,0.825543120473996
2020.06.25,750.36,9.14,-1.20%,1362068.0,11212779.0,1.2180819873127566
2020.06.26,750.58,0.22,+0.03%,1522033.0,11787915.0,0.0293106664179701
2020.06.29,734.69,15.89,-2.12%,1347220.0,9278719.0,2.162816970422899
2020.06.30,737.97,3.28,+0.45%,1638598.0,10528654.0,0.44446251202623405
2020.07.01,727.58,10.39,-1.41%,1184777.0,8563272.0,1.4280216608482914
2020.07.02,742.55,14.97,+2.06%,1155544.0,7539546.0,2.016025856844657
2020.07.03,752.18,9.63,+1.30%,1285378.0,10147594.0,1.2802786567045124
2020.07.06,759.9,7.72,+1.03%,1142167.0,8304840.0,1.015923147782603
2020.07.07,759.16,0.74,-0.10%,1290021.0,10083403.0,0.09747615785868592
2020.07.08,765.96,6.8,+0.90%,1306346.0,10447531.0,0.8877748185283826
2020.07.09,772.9,6.94,+0.91%,1465602.0,10387777.0,0.897916936214258
2020.07.10,772.81,0.09,-0.01%,1332284.0,12857389.0,0.01164581203659373
2020.07.13,781.19,8.38,+1.08%,1395977.0,10852689.0,1.0727223850791743
2020.07.14,778.39,2.8,-0.36%,1635618.0,12279852.0,0.3597168514497874
2020.07.15,781.29,2.9,+0.37%,1527810.0,11307493.0,0.3711809955330287
2020.07.16,775.07,6.22,-0.80%,1631137.0,11153409.0,0.8025081605532401
2020.07.17,783.22,8.15,+1.05%,1365421.0,8582996.0,1.0405760833482292
2020.07.20,781.96,1.26,-0.16%,1399220.0,9279615.0,0.16113356181901886
2020.07.21,790.58,8.62,+1.10%,1500350.0,10341745.0,1.0903387386475751
2020.07.22,794.99,4.41,+0.56%,1476960.0,11376188.0,0.5547239587919345
2020.07.23,801.69,6.7,+0.84%,1384206.0,13661425.0,0.8357345108458382
2020.07.24,794.8,6.89,-0.86%,1455338.0,12472640.0,0.8668847508807247
2020.07.27,801.23,6.43,+0.81%,1293548.0,10426711.0,0.8025161314478988
2020.07.28,807.85,6.62,+0.83%,1547330.0,11968083.0,0.8194590579934393
2020.07.29,808.59,0.74,+0.09%,1181621.0,10594912.0,0.09151733264076974
2020.07.30,814.19,5.6,+0.69%,1301897.0,13271127.0,0.6878001449293162
2020.07.31,815.3,1.11,+0.14%,1357354.0,13058945.0,0.13614620385134307
2020.08.03,827.57,12.27,+1.50%,1522754.0,14512981.0,1.4826540353081914
2020.08.04,835.35,7.78,+0.94%,1509116.0,13940170.0,0.9313461423355479
2020.08.05,847.28,11.93,+1.43%,1521802.0,12744683.0,1.4080351241620244
2020.08.06,854.12,6.84,+0.81%,1498959.0,14220423.0,0.8008242401536084
2020.08.07,857.63,3.51,+0.41%,1397199.0,14574967.0,0.409267399694507
2020.08.10,862.76,5.13,+0.60%,1464015.0,12625988.0,0.594603365941861
2020.08.11,860.23,2.53,-0.29%,1532477.0,13343016.0,0.29410738988410073
2020.08.12,845.6,14.63,-1.70%,1674531.0,14357658.0,1.7301324503311257
2020.08.13,854.77,9.17,+1.08%,1811111.0,14868747.0,1.0728032102202931
2020.08.14,835.03,19.74,-2.31%,1732238.0,13842550.0,2.3639869226255343
2020.08.18,800.22,34.81,-4.17%,1897401.0,15861822.0,4.350053735222814
2020.08.19,818.74,18.52,+2.31%,1601780.0,14760513.0,2.2620123604563105
2020.08.20,791.14,27.6,-3.37%,1813140.0,15393962.0,3.4886366509088154
2020.08.21,796.01,4.87,+0.62%,1658737.0,14078885.0,0.611801359279406
